movie,recommendation
Deuce Bigalow: Male Gigolo,"['Deuce Bigalow: European Gigolo', 'Cooking With Stella', 'Sabah', 'Under the Cherry Moon', 'Love and Other Catastrophes']"
The Green Mile,"['Mr. North', 'The Trip', 'South Central', 'The Butterfly Effect 3: Revelations', 'Time of the Gypsies']"
The Cider House Rules,"['Possible Loves', 'Spellbound', 'Kal Ho Naa Ho', 'Fanny', ""This Girl's Life""]"
Diamonds,"['The Unsuspected', 'A Night to Remember', 'Rare Birds', 'Silver City', 'The Walker']"
The War Zone,"['Young Black Stallion', 'The Last of England', ""What's Cooking?"", 'The Banishment', 'An American Tail']"
The Bat Whispers,"['Red Lights', 'Double Jeopardy', 'Two Men in Manhattan', 'The Spanish Prisoner', 'Mr. Brooks']"
The Last Picture Show,"['Texasville', 'Paper Moon', 'Raggedy Man', 'The Trip to Bountiful', 'Daisy Miller']"
The 7th Voyage of Sinbad,"['The Golden Voyage of Sinbad', 'Jack the Giant Killer', 'The Magic Sword', 'Sinbad and the Eye of the Tiger', 'Gordy']"
Blood on the Sun,"['Midway', 'Beachhead', 'Hell in the Pacific', 'Back to Bataan', 'Attack Force Z']"
Anna and the King,"['A Summer Place', 'Changing Times', 'Next Stop Wonderland', 'Last Year at Marienbad', 'The Hi-Line']"
Bicentennial Man,"['Dear Zachary: A Letter to a Son About His Father', 'C.H.O.M.P.S.', 'Short Circuit', 'Spider Baby', 'Sleuth']"
Stuart Little,"['Stuart Little 2', 'Tarzan', 'The Fox and the Hound', 'Gordy', 'Spider Baby']"
The Emperor and the Assassin,"['Restoration', 'David and Bathsheba', 'The Fifth Musketeer', 'The Journey of August King', 'When We Were Kings']"
Fantasia 2000,"['Fantasia', 'Melody Time', 'Pinocchio and the Emperor of the Night', 'Make Mine Music', 'Only the Strong Survive']"
Magnolia,"['Boogie Nights', 'Hard Eight', 'Twenty Bucks', 'State and Main', ""A Gentleman's Game""]"
Onegin,"[""L'eclisse"", 'In Between Days', 'A Little Romance', 'Summer with Monika', 'Ruby Gentry']"
Simpatico,"['Angie', 'Get Carter', 'Nice Guys Sleep Alone', 'Paradise Canyon', 'Strange Bedfellows']"
Topsy-Turvy,"['All or Nothing', 'Secrets & Lies', 'Career Girls', 'Vera Drake', 'Schultze Gets the Blues']"
The Alley Cats,"['Three Times', 'Kill Me Later', ""Once You're Born You Can No Longer Hide"", 'Tango', 'Marooned in Iraq']"
Boiling Point,False
Brenda Starr,"['Redbelt', 'A Handful of Dust', 'Fun in Acapulco', 'F/X2', 'Meet the Browns']"
Carnal Knowledge,"['Possible Worlds', '35 Shots of Rum', 'Harold and Maude', 'Hurlyburly', 'The Group']"
Easy Rider,"['Catchfire', 'Limbo', 'The Hot Spot', 'The Last Movie', 'Wild Hogs']"
The Falcon and the Snowman,"['The Alphabet Killer', 'Chopper', 'Pusher', 'The Spanish Prisoner', 'Less Than Zero']"
Hi-Yo Silver,"['Flash Gordon: Trip to Mars', 'The Legend of the Lone Ranger', 'The Lone Ranger', 'The Spoilers', ""Rockin' In The Rockies""]"
Room at the Top,"['Here Comes Mr. Jordan', 'The Time of Your Life', 'Cold Sweat', 'The Tender Trap', ""L'eclisse""]"
Ulysses,"['The Odyssey', 'Journey from the Fall', 'Mysterious Island', 'Never Die Alone', 'Combat Shock']"
Any Given Sunday,"['Blue Chips', 'New York', 'Nixon', 'The Iron Ladies', ""Nora Roberts' Midnight Bayou""]"
Man on the Moon,"['Intervista', 'Firelight', 'Pie in the Sky', 'My Wife Is an Actress', 'Alfie']"
Galaxy Quest,"['CQ', 'Interstella 5555: The 5tory of the 5ecret 5tar 5ystem', 'Amazon Women on the Moon', 'Dark Star', 'Starship Troopers 2: Hero of the Federation']"
The Talented Mr. Ripley,"[""Ripley's Game"", 'Purple Noon', 'Striking Distance', 'Street Smart', 'Tom and Huck']"
Next Friday,"['Friday After Next', 'Friday', 'The Great Outdoors', 'In This Our Life', 'Mystery Date']"
The Hurricane,False
Angela's Ashes,"[""The Devil's Own"", 'Dear Frankie', 'Young Black Stallion', 'Stigmata', 'Ugly, Dirty and Bad']"
Play It to the Bone,"['I Shot a Man in Vegas', 'Tin Cup', ""Weekend at Bernie's"", 'Deal', 'Finding Amanda']"
Titus,"['A Thousand Acres', 'Loaded', 'Last of the Dogmen', 'The Intended', 'The Lion in Winter']"
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","['Trekkies 2', 'The Thin Blue Line', 'Fahrenhype 9/11', 'Vernon, Florida', 'The Eyes of Tammy Faye']"
The Third Miracle,"['To Kill a Priest', 'Veronika Voss', 'A Price Above Rubies', 'Radio Inside', 'The Hi-Line']"
Montana,False
Snow Falling on Cedars,"['Far from Heaven', 'Memoirs of a Geisha', 'Come See the Paradise', 'In My Country', 'American Pastime']"
"Girl, Interrupted","['Left Behind III: World at War', 'Cool World', 'Ice Castles', 'Lost Horizon', 'Things to Come']"
Trans,"['Up in the Air', 'Warriors of Virtue', 'The Dust Factory', 'The Naked Spur', 'Whatever It Takes']"
The Life and Times of Hank Greenberg,"['Goodbye, Columbus', 'A Secret', 'Europa Europa', 'The Pride of the Yankees', 'Arguing the World']"
My Dog Skip,"['The Reivers', 'The Adventures of Food Boy', 'The Cave of the Yellow Dog', 'The Pirate Movie', 'The Neon Bible']"
Supernova,"['The Black Hole', 'Death Ship', 'Ghost Ship', 'DeepStar Six', 'Alien']"
The Quarry,"['Skin', 'The Wrong Arm of the Law', 'The Dancer Upstairs', 'Bubble', 'Cry Freedom']"
The Terrorist,"['The Walking Dead', 'Le Petit Soldat', 'Ong Bak 2', 'The Guardian', 'Things Behind the Sun']"
The Way We Were,"['A Summer Place', 'Yentl', 'Firelight', 'Tropical Malady', 'The Fantasticks']"
Tess of the Storm Country,"['The Sum of Us', 'Kings and Queen', 'CRAZY', 'Sunflower', 'The Son of the Sheik']"
Stalag 17,"['Hell Is for Heroes', 'The Life and Death of Colonel Blimp', '36 Hours', 'The Lost Battalion', 'Nuremberg']"
The Presidio,"['Kops', 'The Wrong Arm of the Law', 'The Driver', 'The Glimmer Man', 'The Big Easy']"
Papillon,"['South Central', 'Chopper', 'The Island', 'Johnny Handsome', 'Levity']"
Pal Joey,"['The Disorderly Orderly', 'Scratch', 'Intervista', 'The Song of Ceylon', 'Swimming to Cambodia']"
The Last Detail,"['Paris, France', 'Do You Remember Dolly Bell?', ""My Baby's Daddy"", 'Peculiarities of the National Fishing', 'Strictly Sexual']"
Five Easy Pieces,"['The King of Marvin Gardens', 'Pola X', 'Up in the Air', 'The Big Bad Swim', 'The Stars Fell on Henrietta']"
Even Dwarfs Started Small,"['Intervista', 'Shadows', 'Swimming to Cambodia', ""Gray's Anatomy"", 'The Living Room of the Nation']"
Dead Calm,"['Red Lights', 'Hangover Square', 'Reservation Road', 'Dirty Deeds', 'Nine Queens']"
The Boys from Brazil,"['The Strange Case of Dr. Jekyll and Mr. Hyde', 'Godsend', 'Black Sunday', 'Alive', 'Trilogy of Terror']"
Black Sunday,False
Against All Odds,"['Still Life', 'The Big Sleep', ""Prizzi's Honor"", 'Triggermen', 'A Cure for Love']"
The Snows of Kilimanjaro,"['Citizen Cohn', 'The Sun Also Rises', 'Pola X', 'King David', 'The Desert Fox: The Story of Rommel']"
National Lampoon's Loaded Weapon 1,"['Beyond the Valley of the Dolls', 'Good Advice', 'Showtime', 'Foolish', 'Money Train']"
The Loves of Carmen,"['LOL', 'A Summer Place', 'Firelight', 'Carmen', 'The Music of Chance']"
Fast Times at Ridgemont High,"['All About Lily Chou-Chou', 'Love and Other Catastrophes', 'Rent', 'Intervista', 'Election']"
A Cry in the Dark,"['The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom', 'Skin', 'Sister My Sister', 'It Runs in the Family', 'Night Crossing']"
Born to Win,"['Kissing a Fool', 'Week-End in Havana', 'Fade to Black', 'Expired', 'Intimacy']"
Batman: Mask of the Phantasm,"['Batman & Mr. Freeze: SubZero', ""The Batman Superman Movie: World's Finest"", 'Batman Returns', 'Batman Beyond: Return of the Joker', 'Batman Forever']"
American Flyers,"['Wondrous Oblivion', 'A Very Natural Thing', 'Sabrina', 'Possession', 'To Gillian on Her 37th Birthday']"
Voyage of the Damned,"['La Cucaracha', 'Yentl', 'Cross Creek', 'The Child I Never Was', 'Chimes at Midnight']"
Vampyros Lesbos,"['Count Dracula', 'Popcorn', 'Anguish', 'The Living Dead Girl', 'Trilogy of Terror']"
A Star Is Born,False
Poison,"['Goodbye Bafana', 'It Conquered the World', 'Trilogy of Terror', 'Visitor Q', 'Black Sabbath']"
Pacific Heights,"['Red Lights', 'La estrategia del caracol', 'Cobra', 'Shock', 'Chinese Roulette']"
Night Tide,"['Catchfire', 'Dark Water', 'Trauma', 'Lisbela and the Prisoner', 'Brigham City']"
The Draughtsman's Contract,"['Crows and Sparrows', 'Pride and Prejudice', ""1939: Hollywood's Greatest Year"", 'Reservoir Dogs', ""Rembrandt's J'Accuse...!""]"
Carmen,False
A Zed & Two Noughts,"['Crash', 'Possession', 'The Hand', 'Tin Men', 'This Man Must Die']"
Woman in the Dunes,"['Johns', 'The Incident', 'The Wind Will Carry Us', 'I Really Hate My Job', 'Murk']"
Down to You,"['The Nanny Diaries', 'Clubland', 'The Waiting Game', 'The Last Days of Disco', 'Cocktail']"
"Not Love, Just Frenzy","['The Dancer Upstairs', 'Live Flesh', 'Firelight', 'The Nanny Diaries', 'Beautiful Joe']"
Wirey Spindell,"['Possible Loves', 'If Lucy Fell', 'Tyson', 'Rachel, Rachel', 'Human Traffic']"
Another Man's Poison,"['Empire of Passion', ""Lady Chatterley's Lover"", 'Used People', 'Birth', '100 Feet']"
The Odessa File,"['5th Day of Peace', 'Good Evening, Mr. Wallenberg', 'The Counterfeiters', 'Morituri', 'Lust, Caution']"
The Saphead,"['Peeping Tom', 'A Very Natural Thing', 'The Client', 'Heartburn', 'Stoked: The Rise And Fall Of Gator']"
Seven Chances,"['College', 'Sherlock, Jr.', 'The Navigator', 'Our Hospitality', 'In the Good Old Summertime']"
Smashing Time,"['Garage Days', 'Just Love Me', '30 YEARS TO LIFE', 'Campus Man', 'Going Overboard']"
Train Ride to Hollywood,"['I Am Trying to Break Your Heart', 'Love at Large', 'Grace of My Heart', 'Detroit Metal City', 'Barenaked in America']"
Where the Buffalo Roam,"['Buy the Ticket, Take the Ride', 'The Candidate', 'Intervista', 'My Wife Is an Actress', 'Redacted']"
Zachariah,"['City Slickers', 'Buck and the Preacher', 'Pocket Money', 'Bad Girls', 'Bronco Billy']"
Kestrel's Eye,"['The Last Bolshevik', 'Trekkies 2', 'Lessons of Darkness', 'Calle 54', 'Wattstax']"
Eye of the Beholder,"['Tightrope', 'Chronicles', 'Lured', 'Kalifornia', 'Cop']"
Isn't She Great,"['Monster in a Box', 'Ten Canoes', 'Best Seller', 'American Strays', 'Nowhere Boy']"
The Big Tease,"[""I'll Be There"", 'American Zombie', 'Intervista', 'A Home of Our Own', 'Carolina']"
The Cup,"['Mad About Mambo', 'Gracie', 'Once in a Lifetime: The Extraordinary Story of the New York Cosmos', 'Now or Never', 'Happenstance']"
Santitos,"['Eyes Without a Face', 'Dark Water', 'Ghost River', 'The Furies', 'Since Otar Left']"
Encino Man,"['The Curiosity of Chance', 'Late Bloomers', 'Mr. Woodcock', 'Ernest Goes to School', 'The Substitute']"
The Goodbye Girl,"['All Over the Guy', 'The Tall Guy', 'Jersey Girl', 'The Fantasticks', 'A Summer Place']"
I Am Cuba,"['The Lost City', 'Entertaining Angels - The Dorothy Day Story', 'Goodbye, Dragon Inn', 'The Sun', 'Cuba']"
Malcolm X,"['Jungle Fever', 'Clockers', 'Do the Right Thing', 'School Daze', 'Crooklyn']"
Sister Act,"['Sister Act 2: Back in the Habit', 'Hiroshima', 'No Direction Home: Bob Dylan', 'The ChubbChubbs!', 'Soul Men']"
Sister Act 2: Back in the Habit,"['Sister Act', ""Rock 'n' Roll High School"", 'Late Bloomers', 'The Curiosity of Chance', 'Election']"
The Hand that Rocks the Cradle,"['Lady Snowblood', 'Three Monkeys', ""What's Cooking?"", 'Someone to Watch Over Me', 'Poison Ivy: The New Seduction']"
Alive,False
Agnes of God,"['Black Rainbow', 'Taboo', 'The Unsuspected', 'The Guardian', 'The Hi-Line']"
Scent of a Woman,False
Wayne's World,"[""Wayne's World 2"", ""Sgt. Pepper's Lonely Hearts Club Band"", 'Roadie', 'Smiles of a Summer Night', 'Airheads']"
Wayne's World 2,"[""Wayne's World"", 'The Carter', 'Rock School', ""I'll Be There"", 'Earth Girls Are Easy']"
A League of Their Own,"['The Bad News Bears Go to Japan', 'Ed', 'The Teahouse of the August Moon', 'Promise Her Anything', 'The Secret of Santa Vittoria']"
Patriot Games,"['Clear and Present Danger', 'Traces of Red', 'Three Wishes', 'A Prayer for the Dying', 'Blackjack']"
The Bodyguard,False
Death Becomes Her,"['Diary of a Mad Black Woman', 'Ernest Goes to Jail', 'The Peanut Butter Solution', 'Ernest In The Army', 'Heartbreak Hospital']"
Far and Away,"['The Furies', 'The Aviator', 'The Hi-Line', ""L'eclisse"", 'Foreign Land']"
Howards End,"['Surviving Picasso', 'Magnificent 7', 'Get Carter', 'Big Eden', 'Brideshead Revisited']"
Singles,"['Sex Is Comedy', 'Hype!', 'Just Love Me', 'God Save the King', 'If You Only Knew']"
Twin Peaks: Fire Walk with Me,"['Brigham City', 'Pretty Poison', 'Picnic', 'Scorchers', 'The X Files: I Want to Believe']"
White Men Can't Jump,"['BASEketball', 'A Home of Our Own', 'Some Girl', 'FM', 'Battlefield Baseball']"
Buffy the Vampire Slayer,"['The Substitute', 'The Curiosity of Chance', 'Late Bloomers', 'Mr. Woodcock', 'Blood: The Last Vampire']"
Hard Boiled,"['Infernal Affairs II', 'A Better Tomorrow', 'No Mercy', 'The Mod Squad', 'Infernal Affairs']"
Man Bites Dog,"['The Cell 2', 'Kalifornia', 'Return to Horror High', 'Symbiopsychotaxiplasm: Take One', 'Gacy']"
El Mariachi,"['Catchfire', 'Desperado', 'Once Upon a Time in Mexico', 'Gone Baby Gone', 'Tightrope']"
Stop! Or My Mom Will Shoot,"['Intervista', 'Shadows', 'Torrente 2: Mission in Marbella', 'Inside Deep Throat', 'The Song of Ceylon']"
Forever Young,"['Test Pilot', 'Just Bea', 'In Between Days', 'In Search of a Midnight Kiss', 'The Karate Kid, Part II']"
The Cutting Edge,"['French Cancan', 'All Over the Guy', 'The Fantasticks', 'That Old Feeling', 'Ice Castles']"
Of Mice and Men,False
Bad Lieutenant,"['King of New York', 'Q & A', 'The City', 'City By The Sea', 'Ms .45']"
Scream 3,"['Scream', 'Disaster Movie', 'Anguish', 'The Tripper', 'Scream 2']"
Single White Female,"['Foxy Brown', 'Dark Water', 'The Gravedancers', 'Ghost', 'I Can Get it For You Wholesale']"
The Boondock Saints,"['The Boondock Saints II: All Saints Day', 'Ash Wednesday', 'Overnight', 'Ronin', 'SPL: Kill Zone']"
Gun Shy,"['The Italian Job', 'Kill Me Later', 'The Tender Trap', 'From Paris with Love', 'Crazy People']"
Beloved/Friend,"['Monsieur Ibrahim', 'Foreign Land', 'Dedication', 'Thérèse: The Story of Saint Thérèse of Lisieux', 'Tango']"
Gendernauts: A Journey Through Shifting Identities,"['The Song of Ceylon', 'Shadows', 'Demon Lover Diary', 'Good Men, Good Women', 'Inside Deep Throat']"
Knockout,"['Star Maps', 'No Holds Barred', 'A Night in the Life of Jimmy Reardon', '8 Seconds', 'Radio Inside']"
The Baby,"['Losing Isaiah', 'Used People', 'Irresistible', 'The Baby of Mâcon', 'Baby: Secret of the Lost Legend']"
The Brandon Teena Story,"[""Boys Don't Cry"", 'Trekkies 2', 'Shadow Company', 'Life and Debt', 'Before Flying Back to Earth']"
Different for Girls,"['The Black Lapp', 'A Cure for Love', 'Dedication', 'Oh Happy Day', 'Kal Ho Naa Ho']"
Minnie and Moskowitz,"['Love Streams', 'Sabah', 'Something New', 'The Last of Mrs. Cheyney', 'Angel']"
They Might Be Giants,"['The Seven-Per-Cent Solution', 'Without a Clue', 'The Private Life of Sherlock Holmes', 'Murder by Decree', 'Young Sherlock Holmes']"
The Beach,"['The Time Machine', 'The Other Man', 'The Hot Spot', 'The Librarian: Quest for the Spear', 'Body of Evidence']"
Snow Day,"['The Curiosity of Chance', 'Late Bloomers', 'Ernest Goes to School', 'Election', 'The Waiting Game']"
The Tigger Movie,"[""Piglet's Big Movie"", ""Pooh's Heffalump Movie"", 'Winnie the Pooh and the Blustery Day', 'Alice in Wonderland', 'Tarzan']"
Cotton Mary,"['Quitting', 'Mister Johnson', 'Gordy', 'Not Without My Daughter', 'Young Black Stallion']"
Not One Less,"['The Five Venoms', 'Harmful Insect', 'Notes on a Scandal', 'The Last Casino', 'Stand and Deliver']"
Soft Toilet Seats,"['Secrets of the Heart', 'Opportunity Knocks', 'American Zombie', 'Dead Again', 'A Home of Our Own']"
Trois,"[""Trois 2: Pandora's Box"", 'A Cool, Dry Place', 'Stolen Kisses', 'Hideous Kinky', 'Rachel, Rachel']"
The Big Combo,"['Jimmy and Judy', 'The Narrow Margin', '11 Harrowhouse', 'Billy Bathgate', 'Dillinger']"
Conceiving Ada,"['La Jetée', 'Teknolust', 'Puppet Master: The Legacy', 'The Hourglass Sanatorium', 'The Piano']"
Eaten Alive,"['The Million Dollar Hotel', 'Dirty Pretty Things', 'The Beyond', 'Come September', 'The Toolbox Murders']"
Raining Stones,"['It Runs in the Family', 'Andre', ""The Courtship of Eddie's Father"", 'Cockles and Muscles', 'Eat Drink Man Woman']"
"To Sir, with Love","['The Final', 'The Curiosity of Chance', 'All About Lily Chou-Chou', 'Stand and Deliver', 'Home Room']"
With Byrd at the South Pole,"['The Song of Ceylon', 'Wattstax', 'Trekkies 2', 'Shadows', 'Demon Lover Diary']"
Boiler Room,"['Diary of a Hitman', 'Caught Up', 'Heist', 'Miami Blues', 'Harsh Times']"
Hanging Up,"['Cría Cuervos', 'Radio Inside', 'The Grass Harp', 'The Sum of Us', 'French Cancan']"
Pitch Black,"['The Chronicles of Riddick', 'Alien³', 'Star Trek: Insurrection', 'The Inhabited Island', 'When Worlds Collide']"
The Whole Nine Yards,"['The Whole Ten Yards', 'Did You Hear About the Morgans?', 'Kiss of Death', 'The Heavenly Body', 'Normal Life']"
Beautiful People,"['The Life and Death of Colonel Blimp', 'The Rape of Europa', 'How I Unleashed World War II Part III: Among Friends', 'The Secret of Santa Vittoria', 'When the Wind Blows']"
Black Tar Heroin: The Dark End of the Street,"['Shadows', 'The Song of Ceylon', 'Intervista', 'Wattstax', 'Demon Lover Diary']"
Blue Collar,"['American Dream', 'Bread and Roses', 'Mean Streets', 'Last Exit to Brooklyn', 'Union Station']"
Bluebeard,"['Tightrope', 'The Flock', 'Rope', 'Paprika', 'Cure']"
The Circus,"['The Tender Trap', 'City Lights', 'The Immigrant', 'My Sons', 'Shoulder Arms']"
City Lights,"['Shadows', 'Intervista', 'Firelight', 'The Circus', 'The Song of Ceylon']"
The Flamingo Kid,"['Georgia Rule', 'Nico and Dani', 'The Color of Paradise', 'Just Looking', 'The Princess Diaries 2: Royal Engagement']"
A Dog's Life,"['The Immigrant', 'Shoulder Arms', 'The Adventurer', 'The Pilgrim', 'The Kid']"
The Kid,False
The Man from Laramie,"['Firecreek', 'Broken Arrow', 'The Shooter', 'The Sheepman', 'The Naked Spur']"
The Wild McCullochs,"['Pursued', 'To The Other Side', 'Mother', 'The Governess', 'A Summer Place']"
Class Reunion,"['Flodder', 'The Amazing Quest of Ernest Bliss', 'A Boy Named Charlie Brown', 'Arranged', 'The Slumber Party Massacre']"
The Big Trees,"['The Man Behind The Gun', 'Date With an Angel', 'American Wedding', 'Far and Away', 'Foreign Land']"
Happy Go Lovely,"['The Lonely Guy', 'Sabah', 'The Tender Trap', 'Under the Cherry Moon', 'Pie in the Sky']"
Reindeer Games,"['Auggie Rose', 'Harsh Times', 'The Opportunists', 'Bob le Flambeur', 'Hollywoodland']"
Wonder Boys,"['The Myth Of Fingerprints', 'Tune in Tomorrow...', 'Edie & Pen', 'Divorce American Style', 'Music from Another Room']"
Deterrence,"['When Strangers Appear', 'Absolute Power', 'Topaz', 'The Contender', 'Silver City']"
Judy Berlin,"['French Cancan', 'The Comedians of Comedy', 'Kids in America', 'Lovely & Amazing', 'Kiss Me Again']"
Mifune,"['Radio Inside', 'The Man from Snowy River', 'Temptress Moon', 'Guess Who', 'The Crime of Padre Amaro']"
The Waiting Game,"['WiseGirls', 'Martin Lawrence: You So Crazy', 'The City', 'Nola', 'Hello, Dolly!']"
3 Strikes,"['Dark Horse', 'Life or Something Like It', 'The Truth About Cats & Dogs', '30 YEARS TO LIFE', 'The Dark Backward']"
Chain of Fools,"['Rush Hour', 'Triggermen', 'Once a Thief', 'SPL: Kill Zone', 'Metro']"
Drowning Mona,"['Double Jeopardy', 'The Thin Blue Line', 'Hellraiser: Inferno', ""Murphy's Law"", 'Jennifer Eight']"
The Next Best Thing,"['Angel', 'Griffin & Phoenix', 'The Best Man', 'Cyrus', 'Love in the Time of Cholera']"
What Planet Are You From?,"['The Wild Blue Yonder', 'Cocoon: The Return', 'Alien', 'Spacehunter: Adventures in the Forbidden Zone', 'Howard the Duck']"
Beyond the Mat,"['Hitman Hart: Wrestling with Shadows', 'The Backyard', 'Trekkies 2', 'Pumping Iron', 'Note by Note: The Making of Steinway L1037']"
Ghost Dog: The Way of the Samurai,"['American Me', ""Prizzi's Honor"", 'Dead Man', 'Donnie Brasco', 'Mikey and Nicky']"
The Year My Voice Broke,"['Wild Tigers I Have Known', 'New Waterford Girl', 'The Inkwell', 'Paradise', ""Once You're Born You Can No Longer Hide""]"
Splendor in the Grass,"['A Little Romance', ""L'eclisse"", 'Ruby Gentry', ""Jason's Lyric"", 'Before The Rains']"
My Tutor,"['Dream a Little Dream', 'Bully', 'U Turn', 'The Panic in Needle Park', 'Monument Ave.']"
The Legend of Lobo,"['Clash of the Wolves', ""What's Cooking?"", 'Spider Baby', 'White Fang', 'Young Black Stallion']"
The Killing of Sister George,"['The Out of Towners', 'Junebug', 'Wendigo', 'Two Weeks Notice', 'Killer']"
Key Largo,"['I Am the Law', 'August Evening', 'Kid Galahad', 'Dirty Pretty Things', 'Underworld']"
Jail Bait,"['Glen or Glenda', 'Bride of the Monster', 'Tuvalu', 'Night of the Ghouls', 'Plan 9 from Outer Space']"
It Happened Here,"['House of Fools', 'The Life and Death of Colonel Blimp', 'Max Manus: Man of War', 'Mrs. Miniver', 'Midway']"
I'll Never Forget What's'isname,"['Possible Loves', 'Sonny', 'The Long Gray Line', 'Crane World', 'Raising Helen']"
For All Mankind,"['In the Shadow of the Moon', 'Wattstax', 'Trekkies 2', 'Latcho Drom', 'Lessons of Darkness']"
Cross of Iron,"['Chapayev', ""One Man's Hero"", 'The Desert Rats', 'Little Odessa', 'The Secret of Santa Vittoria']"
Bride of the Monster,"['Glen or Glenda', 'Night of the Ghouls', 'Jail Bait', 'Plan 9 from Outer Space', 'I, Monster']"
Born Yesterday,False
Birdy,"['Streamers', 'Rules of Engagement', '120', 'Journey from the Fall', 'Overlord']"
And God Created Woman,"['French Cancan', 'Firelight', 'Made in Heaven', 'Looking for Eric', ""Buffalo '66""]"
Blood Feast,"['Color Me Blood Red', 'Two Thousand Maniacs!', 'Manhattan Baby', 'Singapore Sling', 'Sssssss']"
"Charlie, the Lonesome Cougar","['Swiss Family Robinson', 'The Legend of Lobo', 'Surviving the Game', 'Benji the Hunted', 'Tarzan']"
Color Me Blood Red,"['Blood Feast', 'Vampyros Lesbos', 'Two Thousand Maniacs!', 'Anguish', 'Skinwalkers']"
Never Cry Wolf,"['Wolves', 'The Aviator', 'Leila', 'Night Crossing', 'White Fang']"
The Night Visitor,"['Hannah and Her Sisters', 'Hour of the Wolf', 'Empire of Passion', 'The Virgin Spring', 'The Monster']"
The Perils of Pauline,"['Chance', ""Singin' in the Rain"", '30 YEARS TO LIFE', 'Left Behind III: World at War', 'Shakespeare in Love']"
A Raisin in the Sun,"[""L'eclisse"", 'The Umbrella Woman', 'The Visit', 'Rachel, Rachel', 'Cyrus']"
Two Thousand Maniacs!,"['Children Of The Night', 'OT: Our Town', 'Dadetown', 'The Giant Gila Monster', 'Picnic']"
Brown's Requiem,"['Red', 'The Dog Problem', 'Heart of a Dog', 'When Strangers Appear', 'Wendy and Lucy']"
The Closer You Get,"['Just Love Me', 'The Tall Guy', 'Divorcing Jack', 'Swept Away', 'Foreign Land']"
Mission to Mars,"['Hot Shots! Part Deux', 'Stranded', 'It! The Terror from Beyond Space', 'Spacehunter: Adventures in the Forbidden Zone', 'Red Planet']"
The Ninth Gate,"['I, Madman', 'A Murder of Crows', 'The Number 23', 'The Omega Code', 'Hellraiser: Inferno']"
Condo Painting,"['28 Up', 'Trekkies 2', 'Shadow Company', 'Life and Debt', 'Before Flying Back to Earth']"
East/West,"['Henry & June', 'The Statement', 'Dangerous Liaisons', 'The Adventures of the Wilderness Family', 'The Skin Game']"
Defending Your Life,"['Modern Romance', 'Mother', 'Looking for Comedy in the Muslim World', 'Real Life', 'Heart and Souls']"
Breaking Away,"['A Better Place', 'All About Lily Chou-Chou', ""River's Edge"", 'Graduation', 'Harriet the Spy']"
Hoosiers,"['Friday Night Lights', 'American Teen', 'Air Bud', 'Late Bloomers', 'Hometown Legend']"
Bull Durham,"['Summer Catch', 'Flannel Pajamas', 'LOL', 'Youngblood', 'A Foreign Affair']"
Dog Day Afternoon,"[""Man's Best Friend"", 'Pups', 'Metro', 'Q & A', 'Hangover Square']"
American Graffiti,"['More American Graffiti', 'Ernest Goes to School', 'All About Lily Chou-Chou', 'Hometown Legend', 'The Curiosity of Chance']"
The Asphalt Jungle,"['Force of Evil', 'The Way of the Gun', 'The Getaway', 'Chopper', 'Dillinger']"
The Searchers,"['Two Rode Together', 'Red River', 'The Wings of Eagles', 'Wagon Master', 'Alvarez Kelly']"
The Devil's Brigade,"['Why We Fight: Prelude to War', 'House of Fools', 'Regret to Inform', 'Hearts and Minds', 'Shadows']"
The Big Country,"['Rancho Deluxe', 'Traveller', 'Montana', 'Fanny', 'Separate Tables']"
Any Number Can Win,"['Sexy Beast', 'Ariel', 'French Cancan', 'South Central', 'The Other Man']"
Betrayed,"['Beautiful Joe', 'Condition Red', 'Road House', 'Shoot to Kill', 'Mad City']"
Bound for Glory,"['Terry Fator: Live from Las Vegas', 'Paris Blues', 'Captain America', 'Jesus Camp', 'Wild America']"
The Bridge at Remagen,"['Why We Fight: Prelude to War', 'Shooting War', 'Saints and Soldiers', 'Von Richthofen and Brown', 'The Rape of Europa']"
Buck and the Preacher,"['Zachariah', ""Snake in the Eagle's Shadow"", 'City Slickers', 'White Lightning', 'Coonskin']"
Daughters of the Dust,"['Old San Francisco', 'Esther Kahn', 'C.S.A.: The Confederate States of America', 'A Summer Place', 'The House of the Spirits']"
Destination Moon,"['Project Moon Base', ""It's All About Love"", 'A Trip to the Moon', 'A Grand Day Out', 'The Life of Emile Zola']"
The Fantastic Night,"['Puddle Cruiser', 'Fresh Horses', 'The Circus', 'Death Takes a Holiday', 'Splash']"
Hangmen Also Die!,"['Soldier of Orange', 'The Rape of Europa', 'Rules of Engagement', 'Grbavica: The Land of My Dreams', 'Mirror']"
The Ogre,"['The Life and Death of Colonel Blimp', 'Midway', 'The Beguiled', 'House of Fools', 'When the Wind Blows']"
On the Beach,False
Railroaded!,"['The Coast Guard', 'He Walked by Night', 'When Strangers Appear', 'Jimmy and Judy', 'Macao']"
Slaves to the Underground,"['Eddie and the Cruisers II: Eddie Lives!', 'I Am Trying to Break Your Heart', ""Pot o' Gold"", 'Rock Star', 'Full Speed']"
